Tem,Wind,Hum,Pres,PM10,PM2.5,O3,NO2,CO,SO2,Pat
-6.5,2.5,44.1,1010.9,18,10,0.012,0.026,0.3,0.003,339
-2.9,2.1,59.8,1009.9,26,16,0.005,0.047,0.5,0.004,8
2.2,2.9,55.4,1005.1,78,37,0.004,0.06,0.9,0.011,908
3.8,3.6,58.8,1001.6,103,34,0.004,0.047,0.6,0.012,740
4,3.7,51.3,1003.6,112,21,0.007,0.036,0.4,0.007,215
1.5,2,35.4,1010.4,49,16,0.008,0.038,0.5,0.005,151
2.3,2.5,54.4,1006.9,52,24,0.003,0.059,0.7,0.006,159
-0.1,2.4,47.1,1008.8,41,19,0.007,0.033,0.4,0.004,84
-0.8,1.9,48.4,1013.1,39,20,0.006,0.038,0.5,0.004,2
0.8,1.6,50.4,1017.3,61,34,0.004,0.056,0.7,0.007,166
3,1.7,56,1014.6,75,41,0.002,0.064,0.8,0.009,149
0.5,3.3,56.6,1010.9,55,29,0.01,0.032,0.4,0.006,100
-7.8,3.6,26.3,1017.9,17,5,0.02,0.015,0.2,0.003,105
-4.7,2,48.6,1020.6,30,16,0.006,0.04,0.4,0.005,118
-1.7,1.9,44.1,1020.4,47,26,0.006,0.054,0.7,0.006,84
-2.4,3.4,43.5,1017.6,50,22,0.014,0.034,0.5,0.006,2
-6.2,2.9,26,1021.8,24,10,0.015,0.024,0.3,0.003,157
-4.3,2.2,33.8,1022.2,37,19,0.009,0.039,0.4,0.005,122
-2.9,1.7,42,1021.7,50,26,0.009,0.043,0.5,0.006,115
0.1,1.9,59.9,1018.1,85,45,0.003,0.064,0.9,0.008,116
-0.1,1.6,55.9,1015.9,99,51,0.007,0.056,0.9,0.008,138
-2.2,3.1,42.4,1016.9,51,21,0.018,0.02,0.4,0.007,76
-1.5,3.2,83.3,1008.6,58,26,0.007,0.036,0.6,0.006,158
-5.5,2.4,62.6,1014.5,95,58,0.013,0.026,0.6,0.01,128
-3.9,1.6,60,1018,91,54,0.008,0.048,0.8,0.009,130
-0.8,2.1,65.6,1015.7,54,33,0.005,0.058,0.8,0.009,98
3,2.6,64.4,1010.3,60,35,0.002,0.061,0.9,0.009,133
4.2,2.4,74.4,1006.2,45,25,0.005,0.04,0.7,0.008,98
-2.1,2.7,42.1,1016.9,31,15,0.018,0.021,0.3,0.005,1
0.2,2.6,48,1013.4,36,18,0.004,0.048,0.6,0.007,177
1.5,2.9,52.8,1013.8,26,10,0.012,0.029,0.3,0.005,149
2.2,2.2,40.1,1011.1,37,17,0.005,0.05,0.6,0.006,111
4,3,66.1,1005.4,36,16,0.012,0.032,0.4,0.006,2
4.9,3.4,63.8,1005,22,11,0.004,0.039,0.4,0.005,2
-3.5,4.3,38.5,1007,55,8,0.021,0.014,0.3,0.004,12
-7.4,3.4,25.9,1014.6,31,8,0.024,0.014,0.3,0.004,7
-4.8,2,27.5,1018.1,36,15,0.017,0.029,0.5,0.006,5
-1.3,1.7,29.8,1015.5,40,19,0.009,0.043,0.6,0.006,3
2.4,4.8,47.3,1010,15,8,0.015,0.028,0.4,0.005,10
0.2,4.3,79.4,1006.8,8,5,0.018,0.02,0.3,0.004,2
-0.1,2.5,55,1015.1,21,14,0.018,0.028,0.4,0.004,14
0.2,3.2,42.1,1015.9,16,10,0.017,0.03,0.4,0.004,9
1.2,2.5,49.3,1017.8,19,12,0.011,0.036,0.5,0.005,5
1.9,2.2,46.1,1019.6,21,13,0.015,0.034,0.4,0.005,11
2.7,3.1,47.3,1017.4,16,11,0.017,0.03,0.4,0.004,1
2.7,2.7,54.6,1016.5,28,17,0.014,0.039,0.6,0.005,5
4.2,2,45.5,1016.5,68,35,0.019,0.042,0.6,0.009,11
2.5,3.5,45.9,1016.3,18,10,0.023,0.023,0.3,0.005,9
2.1,2.6,48.6,1015.7,26,15,0.013,0.035,0.4,0.004,8
1.2,2.8,61.5,1016.5,58,31,0.017,0.037,0.5,0.007,6
0.9,2.6,49.1,1019.5,63,33,0.021,0.038,0.6,0.007,7
2.2,2.1,49.3,1020.5,84,45,0.021,0.047,0.8,0.008,2
4.1,2.3,58,1018.8,147,70,0.016,0.054,1,0.013,9
5.7,2,59.9,1017.9,159,73,0.011,0.069,1.1,0.012,6
8.4,1.9,44.9,1013.6,122,61,0.014,0.066,1,0.011,5
7.7,2.8,55.4,1010,105,50,0.016,0.06,0.9,0.01,2
6.7,2.3,58.8,1011,102,50,0.018,0.046,0.7,0.009,13
6,2.6,61.1,1008,87,39,0.012,0.051,0.6,0.009,3
5.2,2,34.4,1016,53,23,0.017,0.046,0.5,0.008,14
6.3,2.9,48,1011.8,75,32,0.018,0.062,0.8,0.011,5
1.4,4.4,44.8,1013,32,13,0.03,0.015,0.3,0.005,2
0.3,3.6,43.4,1016.5,29,14,0.021,0.021,0.3,0.005,5
-0.6,3.8,45.9,1019.1,26,11,0.023,0.02,0.3,0.005,4
2,2.5,55,1014.1,37,17,0.014,0.038,0.4,0.006,4
1.5,3,50.4,1015.8,35,16,0.016,0.034,0.4,0.005,12
4.5,2.8,65,1015.2,48,24,0.008,0.05,0.5,0.007,11
6.9,1.5,75.8,1006.9,35,17,0.005,0.053,0.6,0.007,5
5.2,4,54.5,1003.6,41,24,0.028,0.021,0.4,0.005,5
3.4,3.6,54.6,1008.5,56,34,0.025,0.036,0.4,0.005,12
6.8,4,66.8,1008.4,86,38,0.024,0.04,0.5,0.008,10
12.6,3.5,79,1006.7,61,27,0.017,0.045,0.6,0.007,9
10.5,3.5,75.3,1004.8,115,31,0.023,0.033,0.5,0.006,6
9.6,2.9,65.5,1006.3,111,33,0.014,0.046,0.5,0.006,6
6.3,3.2,71.3,1003.7,63,23,0.021,0.03,0.4,0.006,7
5.9,3.4,52.5,1009.5,27,13,0.026,0.021,0.3,0.005,7
8.6,2.5,63.5,1012.8,52,22,0.019,0.041,0.4,0.007,3
10.9,3.5,60.5,1011.8,49,25,0.021,0.047,0.5,0.007,7
14.6,2.7,75.9,1004.6,49,26,0.019,0.035,0.3,0.006,8
15.4,2.8,64.6,1000.1,61,30,0.018,0.045,0.5,0.007,6
13.5,2.8,68.9,1006.3,84,37,0.013,0.063,0.6,0.01,7
16.6,2.6,57.3,1006.4,105,43,0.034,0.038,0.6,0.008,5
15,2.5,73.4,998.7,48,24,0.021,0.04,0.4,0.006,6
14.5,2.3,49.3,1005.8,59,27,0.015,0.052,0.6,0.006,7
15.6,2.4,33.8,1005.6,63,25,0.016,0.055,0.6,0.007,12
15.5,2.7,30,1006.4,54,24,0.021,0.051,0.5,0.008,2
10.2,3.1,63,1003.2,51,24,0.018,0.041,0.4,0.007,6
6.6,3.4,52.6,1003,19,9,0.026,0.019,0.3,0.004,6
6.2,3,60.5,1003.9,37,16,0.022,0.024,0.3,0.005,3
10.3,3.4,64.9,1008,63,19,0.019,0.037,0.4,0.007,10
11.9,2.6,60.9,1007.7,53,19,0.019,0.045,0.4,0.007,6
10.3,3,85.3,1007.1,65,28,0.013,0.05,0.5,0.006,3
12.5,2.4,71.5,1008.4,56,26,0.017,0.045,0.5,0.006,7
13.6,2.8,69.5,1008.7,64,29,0.016,0.046,0.5,0.008,14
14.3,1.7,68.8,1007.3,66,29,0.011,0.051,0.5,0.007,4
16.3,2.7,53.3,1009.7,62,30,0.016,0.056,0.5,0.007,5
12.9,3.2,80.1,1009,70,32,0.013,0.05,0.5,0.007,6
14,1.8,81,1005.5,145,59,0.014,0.051,0.7,0.009,4
14.7,1.9,67.4,1003,84,38,0.021,0.048,0.6,0.007,2
15.9,2.6,59.9,1005.4,59,33,0.021,0.036,0.4,0.005,11
14,4.5,56,1009.3,39,22,0.023,0.021,0.3,0.004,7
15.1,3,55.1,1005.1,48,23,0.031,0.03,0.4,0.006,5
16,2.8,43.1,1005.2,48,23,0.034,0.041,0.5,0.006,7
17.2,2.5,49.4,1007.6,75,40,0.037,0.051,0.6,0.009,5
18.6,2,49,1011.1,98,54,0.039,0.044,0.6,0.007,7
19,2.2,32.5,1012.7,58,41,0.028,0.064,0.6,0.007,9
18.7,2.4,38.9,1012.2,48,31,0.028,0.055,0.4,0.007,4
13.6,4.6,91.6,1004,12,8,0.029,0.021,0.2,0.004,11
15,4,69.5,1000.3,13,9,0.041,0.019,0.2,0.004,6
