Tem,Wind,Hum,Pres,PM10,PM2.5,O3,NO2,CO,SO2,Pat
29.1,1.8,59.1,996.9,31,21,0.025,0.027,0.3,0.005,1
27.1,1.9,70.4,995.4,26,17,0.021,0.026,0.3,0.004,1
24.2,2.7,68.5,996.8,34,23,0.028,0.023,0.3,0.004,1
24.7,1.8,69,999,52,37,0.02,0.03,0.4,0.005,1
23.9,1.8,71.1,999.8,36,25,0.02,0.03,0.4,0.004,1
24.4,1.6,65.4,1002.2,34,25,0.023,0.029,0.3,0.004,0
23.1,2.9,64.8,1001.5,26,20,0.025,0.012,0.2,0.004,0
20.2,2,43.4,1011,30,22,0.019,0.025,0.2,0.003,1
21.9,1.8,46.3,1008.2,35,27,0.021,0.026,0.3,0.003,1
21.4,1.6,57.9,1007,39,28,0.011,0.035,0.3,0.003,1
18,2.6,59.3,1010.9,34,16,0.029,0.017,0.3,0.001,1
18.3,1.8,59,1004.4,27,15,0.022,0.022,0.3,0.002,0
13.3,1.4,81,1010,40,24,0.006,0.032,0.8,0.003,1
14.6,1.9,65.4,1012.7,44,24,0.009,0.032,0.6,0.003,1
14.6,2.5,61.8,1007.2,35,17,0.017,0.025,0.4,0.002,1
7.8,3,40.3,1015.6,32,15,0.023,0.016,0.3,0.003,0
4.1,1.4,53.1,1016.7,34,17,0.009,0.041,0.5,0.003,1
9.1,1.6,62.8,1011.4,43,27,0.009,0.051,0.7,0.004,1
12.3,2.7,67,1005.6,59,37,0.022,0.044,0.6,0.005,1
15,2.2,77.4,1003.5,75,45,0.034,0.038,0.6,0.004,0
2.1,1.9,41.1,1018.8,40,29,0.016,0.03,0.4,0.003,1
6,2,55.5,1010.4,42,29,0.003,0.049,0.6,0.003,0
9.1,2.2,63.3,1008.3,43,21,0.008,0.045,0.6,0.003,1
11.4,2.3,62.1,1011.7,67,32,0.002,0.066,1.1,0.004,0
5.2,2.8,44.3,1011.3,53,20,0.022,0.021,0.4,0.003,1
5.2,1.4,44.3,1013.5,49,28,0.007,0.045,0.6,0.004,1
9.1,1.2,56.4,1014,67,43,0.004,0.059,1,0.004,1
13,2.2,71.1,1003.9,57,36,0.01,0.049,0.7,0.004,0
2,3.9,43.3,1012.8,40,19,0.021,0.017,0.3,0.003,1
-1.8,3,37.5,1016.7,35,15,0.015,0.022,0.4,0.003,1
-2.5,2.1,37.8,1017,26,14,0.019,0.023,0.4,0.003,1
1,1.5,43.9,1017.3,42,28,0.012,0.042,0.7,0.004,1
0.9,2.3,69.6,1013.4,52,41,0.002,0.049,0.7,0.003,0
1.4,2.5,57.9,1017.6,78,47,0.016,0.027,0.6,0.003,1
1.7,1.6,40.8,1022.5,39,25,0.007,0.047,0.7,0.004,1
1.6,1.8,48.4,1020.7,32,17,0.013,0.034,0.5,0.004,1
4.5,1.4,58.8,1016.2,51,35,0.006,0.056,0.9,0.004,0
1.7,2.3,58.3,1010.9,50,31,0.004,0.051,0.7,0.005,1
2.1,1.7,70,1007.5,63,46,0.003,0.055,0.9,0.004,1
1.4,2.8,65.8,1009.8,35,26,0.016,0.028,0.5,0.003,1
-1.6,1.9,47.6,1016.5,34,23,0.014,0.032,0.5,0.004,0
3.4,2,53.6,1008.9,63,47,0.008,0.048,1,0.006,1
-1.4,2.7,68.1,1009.8,50,34,0.009,0.028,0.6,0.004,1
-5,3,41.8,1013.4,33,18,0.019,0.019,0.4,0.003,1
-4.7,2.2,40.3,1017.2,32,18,0.013,0.032,0.5,0.004,1
2.7,1.8,60.1,1018,63,42,0.003,0.063,1.1,0.006,0
5.5,3.5,90.3,998.8,32,20,0.01,0.03,0.6,0.003,1
-2.5,3.6,71.1,1009.9,52,37,0.017,0.018,0.5,0.003,1
-2.3,3.5,54.6,1012.5,40,27,0.02,0.019,0.5,0.004,1
-3.7,1.8,49,1019.1,41,26,0.009,0.038,0.6,0.004,1
-4.2,2.8,53.1,1019.8,33,15,0.014,0.026,0.5,0.003,1
-3.9,1.3,50.9,1021.9,41,26,0.005,0.051,0.9,0.004,1
0.7,1.5,65.4,1019,61,48,0.003,0.061,1.1,0.005,0
3.9,1.7,55,1013.2,51,35,0.009,0.058,1,0.005,1
3.8,3.1,52.3,1016.6,35,22,0.011,0.041,0.6,0.004,1
4.6,1.4,64.9,1010.9,55,41,0.004,0.057,0.9,0.005,0
-3.7,3.2,45.1,1013.2,29,16,0.023,0.022,0.4,0.004,1
-2.2,3.1,43.1,1007.6,27,15,0.018,0.029,0.4,0.004,1
-4.4,3,70.3,1011.5,55,43,0.02,0.031,0.6,0.004,1
-5.2,1.6,78.1,1015.4,50,39,0.007,0.045,0.7,0.003,0
-7,2,49.6,1023.4,33,26,0.017,0.035,0.5,0.004,1
-4.8,3.3,61.4,1014.4,44,35,0.029,0.014,0.5,0.003,0
-2.7,2.7,52.9,1019.4,29,16,0.018,0.035,0.5,0.004,1
-2,1.5,45.4,1014.4,36,24,0.009,0.045,0.6,0.004,1
-2.2,2,50.1,1008.4,49,34,0.009,0.046,0.8,0.005,1
-5.3,3.8,47,1005.1,43,17,0.026,0.018,0.4,0.004,1
-6.6,4.1,44.3,1007.5,29,16,0.027,0.016,0.4,0.004,1
-4.8,2.8,45.4,1013.5,27,16,0.025,0.019,0.4,0.004,0
0.3,2.5,46,1021.8,44,31,0.027,0.031,0.5,0.005,1
0.8,3.9,56.9,1010.8,40,16,0.031,0.016,0.3,0.004,1
-2.6,2.8,49.4,1014.9,28,15,0.029,0.021,0.4,0.004,0
-0.6,1.6,37.1,1018.4,42,28,0.013,0.048,0.7,0.004,1
1.7,2.7,70.8,1005.6,36,28,0.008,0.045,0.6,0.003,1
-1.5,3.8,56.4,1008.4,32,20,0.035,0.017,0.4,0.004,1
-0.8,2.2,51.3,1013.4,27,16,0.025,0.033,0.5,0.005,1
2.6,2.3,63.6,1011.1,45,31,0.018,0.043,0.7,0.005,0
5.6,2,41.5,1013.9,40,28,0.014,0.057,0.8,0.006,1
5.7,1.6,60,1008.4,50,36,0.016,0.052,0.8,0.005,0
-1.3,3.9,37.5,1006,29,19,0.036,0.017,0.4,0.004,1
-0.1,3.1,50.6,1003.9,38,18,0.029,0.026,0.6,0.004,1
4.8,2.2,37.4,1008.7,40,25,0.025,0.04,0.6,0.005,1
7.3,1.8,37.4,1012.4,54,40,0.02,0.058,0.8,0.007,0
6.3,2.1,34.9,1012.3,34,21,0.023,0.038,0.6,0.004,1
6.2,1.9,41.8,1011.1,56,42,0.023,0.053,0.7,0.005,1
7.6,2.5,32.8,1010.2,42,27,0.035,0.032,0.5,0.004,1
9.1,2.2,34,1009.8,64,42,0.029,0.046,0.7,0.005,1
8.7,2.1,41.4,1010.4,50,33,0.024,0.043,0.6,0.004,1
8.1,2.1,41.1,1008.8,60,44,0.025,0.044,0.6,0.005,0
8.8,2.3,54.9,1012,57,42,0.037,0.036,0.6,0.004,1
10.6,1.9,50,1010.9,61,43,0.027,0.05,0.7,0.005,1
8.6,2.4,70.6,1007.8,47,32,0.022,0.042,0.6,0.004,1
14.5,2.1,68.1,1003.6,36,25,0.023,0.039,0.6,0.003,1
13,2.5,74.5,1002.2,57,43,0.021,0.044,0.7,0.004,0
15.3,3.2,36.8,995.9,47,22,0.036,0.033,0.5,0.004,1
12.7,2.5,54,1005.9,63,27,0.037,0.035,0.6,0.005,1
13,3.5,57.9,1001.6,51,23,0.044,0.035,0.5,0.005,1
16.8,2.2,59.4,1003.5,61,32,0.046,0.036,0.6,0.006,0
12.9,2.3,45.4,1002.2,70,19,0.031,0.038,0.5,0.004,1
13.1,2,56.5,1000.9,61,21,0.028,0.045,0.6,0.004,1
14.8,2.1,48.4,1002.8,74,33,0.007,0.053,0.8,0.004,0
16,2.7,56.8,1008.1,55,29,0.047,0.035,0.5,0.005,1
15.1,3.3,36,1005.6,38,15,0.042,0.019,0.4,0.003,1
14.4,3,57.3,995,57,24,0.036,0.036,0.7,0.007,1
17.1,2.7,44.3,996.5,60,29,0.04,0.037,0.6,0.006,0
21,2,43.6,1006,57,32,0.038,0.043,0.6,0.005,1
16.4,3.1,77.8,995.6,45,24,0.042,0.03,0.5,0.004,0
18.6,2.1,51.5,1001.1,33,16,0.034,0.037,0.5,0.005,1
20.4,2.3,41.9,1005.5,42,25,0.045,0.043,0.6,0.006,1
21.1,2.6,42.6,1006.7,42,24,0.048,0.036,0.5,0.006,1
20.9,2.4,44,1005.7,33,19,0.045,0.033,0.5,0.007,0
20,1.9,68,1000.6,33,19,0.02,0.032,0.4,0.004,1
23.3,1.9,49.1,992.9,32,17,0.029,0.04,0.5,0.005,1
21.5,2.3,46.8,996.9,42,20,0.048,0.023,0.4,0.003,0
21.8,2.8,63,1000.8,38,19,0.036,0.028,0.4,0.004,1
23.1,2.5,62.4,998.1,45,27,0.044,0.032,0.5,0.005,1
25.5,2.2,55.8,999.3,60,40,0.063,0.036,0.6,0.006,1
24.2,2.4,52.3,1000.5,44,30,0.065,0.029,0.5,0.006,0
26,2.1,43.4,995,42,30,0.048,0.036,0.5,0.003,1
25.4,2.9,52.6,995.6,47,33,0.039,0.029,0.4,0.004,1
25.3,2.5,57.3,998.7,33,23,0.032,0.027,0.4,0.003,1
26.7,2,53,996.2,37,22,0.039,0.038,0.5,0.003,1
24.5,1.2,60.4,993.3,33,21,0.023,0.047,0.5,0.005,0
26,2.1,63.5,1001.9,42,33,0.045,0.032,0.5,0.004,1
26.2,2.2,64.8,1001.1,44,35,0.039,0.033,0.5,0.004,1
25.9,2.2,65.9,998.2,48,37,0.044,0.027,0.5,0.003,1
26.7,2,74.5,996,34,24,0.035,0.026,0.4,0.004,1
27.4,1.5,66.9,1000,35,26,0.044,0.029,0.5,0.004,1
27.6,1.7,72.3,1000.1,41,31,0.049,0.037,0.6,0.004,1
26,2.6,83.3,996.5,26,15,0.019,0.024,0.4,0.003,0
26,2.1,81.4,997.2,38,26,0.036,0.029,0.5,0.003,1
27.1,2.3,75.9,1000.2,45,32,0.042,0.028,0.5,0.003,1
27.6,1.5,71,998,45,33,0.039,0.035,0.5,0.004,1
28.7,2.1,68.4,998,45,33,0.035,0.037,0.5,0.005,1
26.5,1.6,80.6,999.5,26,16,0.027,0.032,0.4,0.004,1
28.3,1.8,71.4,997.1,35,24,0.045,0.029,0.5,0.003,1
29.9,2.2,66.1,996.6,48,37,0.042,0.037,0.6,0.006,1
29.3,2.3,75.8,999.1,55,43,0.043,0.028,0.5,0.007,0
27.1,1.9,62.5,998.2,25,14,0.029,0.036,0.4,0.003,1
25.5,1.5,92.1,998,29,19,0.012,0.036,0.6,0.003,1
30,1.3,71.9,997.4,33,23,0.044,0.036,0.6,0.003,1
30.3,2.1,60.1,995.5,25,16,0.048,0.024,0.4,0.004,1
31.4,1.9,63,993.4,28,19,0.042,0.024,0.4,0.003,0
28.2,1.9,67.1,989.8,40,27,0.052,0.027,0.5,0.004,1
26.3,1.3,75.6,1001,25,16,0.019,0.04,0.5,0.005,1
22.2,1.6,62.4,1002.2,31,19,0.028,0.032,0.6,0.004,1
22.4,1.4,73.3,997.9,34,26,0.036,0.027,0.6,0.004,1
23.8,1.4,70.1,1003.2,53,40,0.038,0.035,0.7,0.004,0
22.6,3,79.1,998.8,54,36,0.048,0.031,0.7,0.004,1
20.6,2.1,60.8,1003,27,20,0.036,0.04,0.5,0.004,1
21.8,1.6,69.8,1005.4,48,26,0.031,0.038,0.6,0.005,0
20,1.5,64.9,1011.1,30,19,0.023,0.041,0.6,0.005,0
16.5,2.4,58.8,1012.9,26,15,0.019,0.032,0.4,0.003,1
17,1.5,58.6,1008.8,28,20,0.013,0.045,0.6,0.004,1
17.6,1.3,52.8,1007.6,27,23,0.017,0.041,0.6,0.004,0
14.4,1.9,54.3,1013.6,31,17,0.017,0.039,0.5,0.004,1
14.5,1.2,56.5,1011.3,48,30,0.013,0.052,0.7,0.004,1
16.9,1.2,54.4,1009.6,58,39,0.02,0.053,0.9,0.005,1
17.2,2,51.9,1009.8,44,28,0.023,0.045,0.7,0.004,0
10.4,1.8,54.3,1014.6,34,15,0.013,0.042,0.3,0.005,1
15.5,1.6,78.8,1007.9,52,30,0.022,0.041,0.4,0.005,1
12.3,3.2,66,1009.3,40,27,0.03,0.025,0.5,0.005,1
7.8,2.5,47.9,1018.1,47,39,0.025,0.023,0.5,0.004,0
11.4,1.5,64.5,1014.2,37,23,0.01,0.05,0.7,0.006,1
13.1,3,53.3,1009.8,63,31,0.033,0.024,0.5,0.005,1
9.4,1.2,39.6,1013.5,48,27,0.01,0.048,0.8,0.005,1
3,2.2,39.4,1009.2,37,24,0.003,0.049,0.8,0.006,1
-2.1,3.4,38.5,1013,37,22,0.024,0.013,0.4,0.005,0
1.3,1.4,55.6,1015.7,49,33,0.005,0.053,0.9,0.006,1
4.3,2.4,54.8,1007.8,63,33,0.012,0.043,0.8,0.006,1
3,1.8,77.6,1012.6,25,15,0.004,0.049,0.8,0.005,0
3.2,2.8,48.3,1015.3,73,25,0.014,0.033,0.7,0.006,1
1.9,1.7,59.9,1017.3,39,25,0.005,0.05,0.9,0.006,0
0.7,1.7,64.5,1012,46,33,0.012,0.037,0.8,0.006,1
-3.8,1.8,41.3,1013.2,29,21,0.015,0.025,0.5,0.005,1
-0.5,1,46.1,1009.6,37,25,0.004,0.052,0.9,0.006,0
-9.4,2.1,41.9,1019.3,30,17,0.017,0.018,0.5,0.005,1
-8.7,1.7,42,1021.4,33,19,0.012,0.03,0.6,0.006,1
-6.6,0.9,42.9,1020.9,48,36,0.004,0.053,1,0.006,1
-5.7,3,43.1,1016.7,36,25,0.02,0.02,0.6,0.006,0
-2.1,1.3,47,1019,40,27,0.005,0.046,0.8,0.006,1
-4.7,1.4,43,1016.5,39,24,0.01,0.037,0.7,0.007,1
-3,1.7,48.4,1010.3,51,34,0.007,0.048,0.8,0.007,1
-2.8,1.5,45.8,1012.9,38,27,0.016,0.035,0.7,0.007,0
-11.1,2.8,49.8,1015.9,29,22,0.018,0.02,0.5,0.006,1
-4.4,0.8,67.3,1021.1,49,38,0.003,0.056,1,0.006,0
1,1.6,43,1013.5,51,27,0.016,0.039,0.7,0.007,1
-14.8,2.6,34.9,1018.9,28,18,0.024,0.02,0.5,0.006,1
-9.9,1.4,37.4,1017.8,37,26,0.009,0.043,0.7,0.006,0
-8.5,2.7,35,1013,39,15,0.025,0.02,0.5,0.007,1
-2.6,1.6,54.5,1016.6,35,18,0.011,0.036,0.6,0.006,1
-2.4,1.6,51.1,1017.5,48,31,0.008,0.053,0.9,0.007,1
-7.3,3.8,47,1017.2,31,19,0.026,0.017,0.5,0.006,0
-8,1.5,39.8,1015.4,34,23,0.015,0.037,0.6,0.006,1
-4.4,1.2,43.3,1014,45,32,0.006,0.058,1,0.007,1
-0.5,3,47.4,1010.9,65,38,0.023,0.031,0.6,0.007,0
3.5,2.6,51,1006.3,59,27,0.025,0.035,0.7,0.007,1
-0.9,2.3,31.5,1013.4,32,17,0.029,0.024,0.5,0.006,1
1.3,2.2,59,1010.6,41,25,0.022,0.039,0.7,0.007,1
2.4,2.1,49.4,1016.8,67,46,0.025,0.03,0.7,0.006,0
4.6,2,73.3,1000.1,64,41,0.011,0.05,1,0.007,1
7.9,1.5,38.1,1003.7,51,25,0.015,0.05,0.8,0.008,0
4.6,1.9,76,1009.3,30,24,0.027,0.023,0.6,0.005,1
4.6,2,65.8,1013.4,42,31,0.02,0.041,0.7,0.008,0
12.4,1.8,60.5,1008.3,57,36,0.023,0.051,0.9,0.008,1
6.6,1.5,48,1016.6,27,16,0.025,0.031,0.5,0.005,0
6.1,2,55.3,1009.1,61,45,0.034,0.043,0.7,0.007,1
13.3,1.6,61.1,1007.3,84,50,0.032,0.055,0.9,0.009,1
14,2.2,66.4,1006.6,50,32,0.032,0.04,0.7,0.008,1
15.4,1.6,66.3,1009.6,53,34,0.03,0.036,0.6,0.007,1
14.8,1.7,55.6,1012.7,56,32,0.027,0.042,0.6,0.006,1
14,1.9,52.9,1009.9,50,26,0.034,0.04,0.6,0.008,0
17.8,2.1,72.9,1006.4,59,17,0.02,0.033,0.5,0.007,1
4.2,4.1,45.5,1003.4,42,20,0.04,0.014,0.4,0.005,0
15.1,3.5,51,1000,36,18,0.029,0.035,0.6,0.006,1
12.6,3,49.4,1000.8,52,20,0.034,0.028,0.5,0.006,1
13.3,2.6,30.5,1007.7,39,14,0.03,0.032,0.5,0.007,1
12.9,1.9,37.9,1009.5,50,25,0.03,0.045,0.7,0.006,1
14,1.9,38.8,1007.8,72,34,0.037,0.055,0.7,0.009,1
18.4,1.3,46,1009.3,91,46,0.042,0.064,0.9,0.009,1
18.7,1.9,32,1008.1,64,35,0.027,0.058,0.8,0.008,0
14.9,2.1,51.9,1003.7,38,26,0.036,0.044,0.6,0.007,1
15.7,1.7,52.9,1004.2,49,34,0.04,0.044,0.6,0.008,1
15.4,2,49,1006.2,55,34,0.038,0.042,0.6,0.007,0
14.1,2.7,45.5,1001.5,37,15,0.045,0.028,0.5,0.006,1
19.2,1.2,60.3,996.5,31,16,0.027,0.034,0.6,0.005,0
15.4,2.3,67.4,1012.1,35,18,0.041,0.031,0.5,0.006,1
16.1,1.8,59.8,1008.2,51,29,0.049,0.034,0.5,0.005,1
14.2,0.9,89.3,999.8,27,17,0.02,0.045,0.6,0.005,0
23.2,1.1,56.4,1000,65,46,0.036,0.05,0.8,0.007,1
22.3,1.9,93.8,995.1,33,22,0.007,0.037,0.6,0.005,1
18.3,2.2,47.4,999.5,85,20,0.045,0.034,0.6,0.007,1
19.7,1.8,47.4,998.5,83,30,0.051,0.039,0.7,0.007,1
21.8,1.4,50.1,998.8,72,35,0.062,0.041,0.6,0.005,0
21.4,1.8,69.3,1001.2,35,23,0.036,0.03,0.4,0.005,1
20.2,1.9,69.8,1000,38,23,0.031,0.03,0.5,0.004,1
23.4,2,44.5,1005.1,36,21,0.036,0.044,0.5,0.005,0
21.9,2.1,68,998.8,29,19,0.038,0.018,0.4,0.003,1
23.7,1.4,60.6,997.1,32,20,0.041,0.022,0.4,0.003,0
22,1.5,64,996.2,26,17,0.035,0.028,0.5,0.004,0
21.6,1.1,74.9,997.7,25,16,0.031,0.025,0.5,0.004,1
22.7,2.3,68.1,994,36,24,0.04,0.02,0.4,0.003,1
23.7,2.2,60.1,997.1,31,20,0.045,0.02,0.4,0.003,1
25,1.8,45.1,998.3,34,20,0.049,0.033,0.5,0.004,1
24.5,2,50.6,994.8,34,20,0.047,0.032,0.5,0.006,0
22.3,2.4,88.3,993.7,44,27,0.035,0.033,0.6,0.005,1
24.7,1.5,78.5,993.1,33,25,0.037,0.036,0.6,0.004,1
24.4,0.9,83.8,999.6,49,33,0.024,0.038,0.6,0.004,0
26.8,1.3,82.9,1004.9,34,23,0.007,0.027,0.6,0.001,1
28.1,1.7,66.5,1002.2,28,25,0.015,0.022,0.3,0.005,1
28.2,1.6,64.8,1001.9,33,29,0.018,0.024,0.4,0.004,1
28.7,1.6,64.1,1001.1,29,23,0.022,0.02,0.3,0.003,1
29.5,1.5,62.6,999.4,35,28,0.035,0.031,0.4,0.005,1
30.6,1.5,53.6,999,35,27,0.043,0.032,0.4,0.005,0
31.4,1.6,59.5,997.4,40,33,0.061,0.028,0.4,0.005,1
30.1,2.4,66.3,997.5,32,24,0.028,0.021,0.4,0.005,1
30.1,1.5,68.8,997.5,40,29,0.028,0.026,0.4,0.005,1
30.9,1.9,69.3,997.2,43,30,0.034,0.024,0.4,0.004,1
29.5,1.2,77.1,996.1,31,21,0.022,0.03,0.4,0.003,0
33.7,1.6,54.4,995.6,36,25,0.061,0.029,0.5,0.004,1
33.1,1.9,55.3,997.4,40,30,0.061,0.027,0.5,0.005,1
25.3,1.8,80.9,999.2,25,17,0.021,0.031,0.5,0.004,1
12.5,1,54,1015.2,29,18,0.012,0.049,0.6,0.003,0
12.4,1.3,53.3,1005.8,32,17,0.014,0.044,0.6,0.004,1
13.4,1.2,53.9,1015.3,36,19,0.013,0.048,0.7,0.004,0
12.5,1.3,66,1010.5,39,17,0.014,0.038,0.7,0.003,1
13.8,0.9,55.5,1010.1,36,19,0.009,0.051,0.9,0.004,1
12.2,1.6,74.1,1001.6,32,17,0.011,0.044,0.7,0.004,1
10.6,1.1,54.9,1017.3,39,24,0.007,0.058,1,0.004,1
11.2,1.3,56,1015,47,30,0.011,0.059,1,0.004,0
11.9,1.1,65.5,1012.9,54,33,0.009,0.056,1,0.004,1
12.8,1.1,79.5,1014,54,37,0.01,0.039,0.8,0.004,1
12.1,3.1,69,1006.9,38,21,0.026,0.025,0.7,0.004,1
11.9,1.4,69.1,1013.4,70,40,0.022,0.035,0.8,0.005,0
9.8,1.1,55.5,1012.9,31,20,0.01,0.045,0.8,0.004,1
9.7,1,55.4,1014.2,45,30,0.006,0.06,0.9,0.004,1
8.8,1.7,65.1,1011.6,54,36,0.013,0.046,1,0.004,1
4.9,1.4,50.8,1013.1,31,18,0.01,0.032,0.6,0.004,0
6.5,1.4,50.4,1012.2,55,29,0.011,0.044,1,0.004,1
6.5,1.8,39.9,1014.4,40,17,0.014,0.04,0.7,0.005,1
5.8,1.2,57.1,1013.9,30,15,0.012,0.037,0.6,0.004,1
3.5,1.3,41.4,1016.1,70,20,0.005,0.044,0.7,0.004,1
2.7,1.4,46.1,1016.5,58,20,0.007,0.045,0.7,0.004,1
2.4,2.3,50.5,1012.9,36,16,0.012,0.029,0.6,0.004,1
-1.9,2.2,39,1018.8,44,22,0.018,0.027,0.6,0.004,1
-2.2,2,57.4,1018.6,39,22,0.015,0.032,0.6,0.004,1
-4.4,1.7,44.3,1024.2,32,18,0.013,0.031,0.6,0.004,1
-2.4,1,46.8,1021.4,56,37,0.004,0.056,1,0.005,0
1.6,1.8,60.1,1007.8,70,45,0.012,0.039,0.9,0.005,1
4,1.4,53.4,1010.4,50,28,0.009,0.051,1,0.006,1
3.4,0.9,45.5,1012.8,56,37,0.005,0.06,1.1,0.006,1
