Tem,Wind,Hum,Pres,PM10,PM2.5,O3,NO2,CO,SO2,Pat
27.1,2.3,61.4,995.6,31,20,0.043,0.03,0.3,0.005,0
27.1,4,63.4,990.5,53,35,0.058,0.026,0.4,0.007,0
26.4,3.3,70.8,997.9,68,48,0.049,0.024,0.4,0.006,0
26.6,2.7,68.4,1000,47,32,0.041,0.026,0.3,0.006,0
27.3,3,73.9,998.7,47,33,0.023,0.026,0.3,0.007,0
26.6,1.9,71.6,998.8,53,38,0.042,0.032,0.4,0.005,0
26.5,2.5,68.4,999.5,37,25,0.039,0.03,0.3,0.006,0
24.4,2.2,92.4,996.1,40,25,0.027,0.036,0.3,0.006,0
24.7,1.5,91.1,996.8,38,23,0.013,0.04,0.3,0.006,0
25.8,2.7,77.8,994.7,52,39,0.056,0.024,0.3,0.006,0
24.8,1.1,86,1000.6,28,17,0.01,0.041,0.5,0.006,0
24.7,3.1,83.4,1000.5,62,45,0.037,0.032,0.6,0.007,0
24.1,1.5,72.5,1003.9,26,18,0.026,0.038,0.5,0.005,0
25.2,1.8,66.9,1002.1,30,22,0.035,0.028,0.4,0.006,0
23.3,1.8,61.1,1003,32,21,0.029,0.031,0.4,0.005,0
21.3,2.1,74.9,1003.6,34,22,0.014,0.044,0.5,0.005,0
23.1,2.2,64.9,1003.5,25,17,0.042,0.02,0.4,0.005,0
20.2,1.5,52.3,1006.3,42,19,0.012,0.039,0.3,0.005,0
21.4,1.7,55,1004.5,25,16,0.018,0.04,0.3,0.006,0
21.4,2,57.5,1008.7,25,18,0.021,0.037,0.3,0.005,0
21.4,2.6,79,1006.7,28,17,0.023,0.031,0.3,0.005,0
19.4,1.3,99,1003.7,39,23,0.009,0.036,0.3,0.005,0
18.1,2.2,89,999.7,31,18,0.01,0.037,0.4,0.005,0
16.1,2.4,64.8,1011.6,28,18,0.015,0.036,0.3,0.005,0
16.7,1.5,61.5,1011.9,32,22,0.015,0.049,0.5,0.005,0
19,3.6,63.3,1011.6,38,22,0.02,0.035,0.4,0.005,0
19.4,3.1,57.4,1012.9,26,18,0.026,0.023,0.3,0.004,0
13.8,2.4,60.4,1007.6,34,20,0.024,0.041,0.4,0.005,0
13.2,3.1,53.8,1008.6,45,16,0.02,0.03,0.3,0.005,0
13.6,1.9,53.8,1012.7,38,17,0.013,0.04,0.4,0.005,0
14.4,2.6,97.8,1006.6,33,24,0.01,0.038,0.5,0.005,0
13.8,2.1,67.8,1010.7,34,21,0.008,0.044,0.5,0.005,0
15.1,1.8,78,1010.1,46,29,0.008,0.049,0.6,0.006,0
10.7,3,35.3,1013.2,47,15,0.021,0.024,0.3,0.005,0
10.2,1.4,43.4,1015.7,68,27,0.007,0.05,0.5,0.005,0
12.1,1.7,46.4,1016,67,35,0.005,0.069,0.8,0.007,0
14.2,1.5,45.8,1013.8,69,39,0.004,0.079,1,0.008,0
15,2.4,62.1,1008.2,52,28,0.007,0.059,0.7,0.007,0
17.3,2.2,63.4,1002.8,43,26,0.015,0.04,0.4,0.006,0
9.3,3.1,40.9,1008.6,43,14,0.017,0.023,0.3,0.005,1
11.3,1.9,60.5,1011.6,33,15,0.008,0.041,0.5,0.006,0
12.4,1.9,65.6,1010.4,37,20,0.009,0.046,0.6,0.006,0
13.5,2.1,61,1010.2,65,32,0.018,0.039,0.6,0.008,0
9.8,1.9,52.5,1014.9,59,22,0.007,0.042,0.5,0.006,0
9.9,1.4,61.9,1014.3,71,35,0.003,0.05,0.7,0.007,0
9.4,1.7,49.9,1012.2,60,30,0.01,0.051,0.7,0.007,0
9.4,1.9,67.4,1006.2,76,43,0.007,0.058,0.8,0.007,0
6,5.4,50.6,1003.8,46,17,0.023,0.014,0.3,0.005,0
4.2,2.2,54,1014.5,33,16,0.011,0.038,0.4,0.006,0
4.1,2.1,38.3,1018.9,35,18,0.013,0.031,0.4,0.006,0
6.2,2.3,75.5,1014,34,24,0.016,0.028,0.5,0.005,0
5,2.2,53.4,1017.6,36,22,0.016,0.031,0.4,0.005,0
5.6,1.6,55.4,1017.1,57,30,0.008,0.051,0.7,0.006,0
7.9,1.8,61.9,1014.4,69,35,0.006,0.059,0.9,0.007,0
11.3,2.8,62.5,1012.3,64,31,0.007,0.056,0.7,0.008,0
11,1.9,90.9,1013.5,48,27,0.006,0.049,0.6,0.006,0
9.8,1.3,59.8,1010.3,71,37,0.003,0.044,0.7,0.007,0
10.2,4.2,56,1007.5,32,16,0.014,0.029,0.4,0.006,0
11,2.8,58.8,1008.3,31,17,0.015,0.035,0.5,0.005,0
10.4,1.9,69.9,1012.3,54,26,0.003,0.054,0.8,0.007,0
8.8,3.7,88,1004.8,26,16,0.004,0.04,0.5,0.005,0
-3.4,1.6,43.9,1016.1,49,19,0.005,0.039,0.6,0.006,0
-3.6,1.5,60.5,1018.5,36,19,0.008,0.034,0.5,0.006,0
-2.6,2.5,52,1017.3,30,15,0.021,0.017,0.3,0.005,0
-0.8,2.2,64.1,1011.4,60,34,0.002,0.065,0.8,0.007,0
-2.7,1.9,56.1,1012.7,42,21,0.005,0.043,0.5,0.007,1
-0.3,2.3,56.5,1012.8,42,20,0.011,0.04,0.4,0.007,1
-4.1,3.8,46,1017.8,40,17,0.02,0.021,0.2,0.005,1
-1.3,2.3,68.4,1011.5,38,18,0.008,0.038,0.4,0.005,0
3.7,1.8,62.9,1015.2,59,30,0.01,0.049,0.5,0.007,1
-4.5,2.6,46.4,1021.2,46,18,0.016,0.027,0.3,0.005,1
-5.7,3.1,54.6,1015.9,47,17,0.015,0.029,0.3,0.007,0
2,2.2,72.9,1010.4,67,30,0.007,0.059,0.5,0.008,0
5,3.5,91.9,1003.8,48,26,0.015,0.041,0.4,0.006,0
1.9,3.5,78.5,1005.8,73,36,0.023,0.025,0.4,0.007,0
